nombre,poblacion,superficie,continente
Afganistán,43844111,652860,Asia
Albania,2349580,28750,Europa
Alemania,83491249,357600,Europa
Andorra,82904,470,Europa
Angola,39040039,1246700,África
Antigua y Barbuda,94209,440,América
Arabia Saudita,36973555,2149690,Asia
Argelia,47435312,2381740,África
Argentina,45851378,2780400,América
Armenia,3086700,29740,Asia
Aruba,108785,180,América
Australia,27614411,7741220,Oceanía
Austria,9208163,83879,Europa
Azerbaiyán,10246996,86600,Asia
Bahamas,403033,13880,América
Bahrein,1600366,790,Asia
Bangladesh,175686899,147570,Asia
Barbados,282623,430,América
Belarús,9085991,207630,Europa
Belice,422924,22970,América
Benin,14814460,114760,África
Bermudas,64555,4290,América
Bhután,796682,38390,Asia
Bolivia,12581843,1098580,América
Bosnia y Herzegovina,3140095,51210,Europa
Botswana,2562122,581730,África
Brasil,212812405,8510420,América
Brunei Darussalam,466330,5770,Asia
Bulgaria,6433302,111000,Europa
Burkina Faso,24074580,274200,África
Burundi,14390003,27830,África
Bélgica,11941781,30689,Europa
Cabo Verde,527326,4030,África
Camboya,17847982,181040,Asia
Camerún,29879337,475440,África
Canadá,41651653,15634410,América
Chad,21003705,1284000,África
Chile,19859921,757245,América
China,1406585000,9562910,Asia
Chipre,1370754,9250,Asia
Colombia,53425635,1140619,América
Comoras,882847,1861,África
"Congo, República Democrática del",112832473,2344860,África
"Congo, República del",6484437,342000,África
"Corea, República Popular Democrática de",26571036,120540,Asia
"Corea, República de",51684564,100440,Asia
Costa Rica,5152950,51100,América
Croacia,3876200,88070,Europa
Cuba,10937203,109880,América
Curacao,156263,444,América
Côte d'Ivoire,32711547,322460,África
Dinamarca,6009169,42920,Europa
Djibouti,1184076,23200,África
Dominica,65871,750,América
Ecuador,18289896,256370,América
"Egipto, República Árabe de",118365995,1001450,África
El Salvador,6365503,21040,América
Emiratos Árabes Unidos,11513149,98648,Asia
Eritrea,3607003,121766,África
Eslovenia,2130986,20480,Europa
España,49355143,505978,Europa
Estados Unidos,341784857,9831510,América
Estonia,1366475,45340,Europa
Eswatini,1256174,17360,África
Etiopía,135472051,1136240,África
Federación de Rusia,143513328,17125190,Europa
Fiji,933154,18270,Oceanía
Filipinas,116786962,300000,Asia
Finlandia,5646436,338470,Europa
Francia,68720337,606410,Europa
Gabón,2593130,267670,África
Gambia,2822093,11300,África
Georgia,3935766,69700,Asia
Ghana,35064272,238533,África
Gibraltar,40126,10,Europa
Granada,117303,340,América
Grecia,10413962,131960,Europa
Groenlandia,56831,410450,América
Guam,168999,540,Oceanía
Guatemala,18687881,108890,América
Guinea,15099727,245860,África
Guinea Ecuatorial,1938431,28050,África
Guinea-Bissau,2249515,36130,África
Guyana,835986,214970,América
Haití,11906095,27750,América
Honduras,11005850,112490,América
"Hong Kong, Región Administrativa Especial",7498900,1110,Asia
Hungría,9514251,93030,Europa
India,1463865525,3287260,Asia
Indonesia,285721236,1916907,Asia
Iraq,47020774,435050,Asia
Irlanda,5484367,70280,Europa
"Irán, República Islámica del",92417681,1745150,Asia
Isla de Man,84118,570,Europa
Isla de San Martín (parte francesa),24941,50,América
Islandia,392404,103000,Europa
Islas Caimán,75844,264,América
Islas Feroe,54900,12960,Europa
Islas Marshall,36282,180,Oceanía
